,Q,A
17,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
18,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
19,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
20,学术批评要坚持学术与学术对话， 不同学术观点的争议要采用的方法来进行,A
21,下列选项中不属于“抄袭”的是,D
22,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列哪种说法是正确的？论文复检不合格者，不受理其论文答辩申请，须推迟答辩，并在导师指导下对论文进行不少于 (  )个月的修改，再申请重新进行检测。,D
23,科研规范主要是指从事科研活动的行为，其主体是,D
24,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
25,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
26,科学共同体的沉淀是,C
27,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
28,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
29,以下哪项不属于学术共同体的特点。,D
30,以下说法中属于“剽窃”的是,C
31,加强学术道德和学风建设，遏制学术不端行为，必须,D
32,下列属于科研伦理决策过程的是,D
33,以下关于科研项目申请的做法中，正确的是,A
34,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
35,以下关于“参考文献”的说法，错误的是,C
36,"关键词是指研究成果中起关键作用、最能代表成果中心内容特征的词或词组。关键词的选取也要遵循一定的学术规范,下列符合该规范的是",D
37,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
38,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
0,以下哪种行为不属于学术不端行为。,D
1,科研规范具有( )和( )的规制性安排。,D
2,以下关于科研项目申请的做法中，正确的是,A
3,解决科学道德和学风问题， 关键在于抓好教育、制度和监督三个环节教育是( )，制度是( )监督是( )，惩防结合、标本兼治。,A
4,中文引文注释的必要内容中，网络文献应标注,D
5,科学道德的思想内核是,A
6,学术规范是在学术共同体内部所构建的一种,B
7,合著论者应联合署名，署名次序应按( )排序。,D
8,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
9,伪造和篡改可能导致的后果是,D
10,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
11,我国司法实践中认定抄袭和剽窃的标准有三， 其中第二条标准对剽窃者使用他人作品是否超出了“适当引用” 的范围做了“量”和“质”的认定。对引用的“量”，我国《图书期刊保护试行条例实施细则》中的第十五条有明确规定： 凡引用一人或多人的作品，所引用的总量不得超过被引用作品的,A
12,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
13,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
14,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
15,加强学术道德和学风建设，遏制学术不端行为，必须,D
16,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
17,在科研课题申请过程中，资助单位要做到程序的公开、透明，具有相同资质的申请人应该有相同的机会获得资助。()制度在很大程度上提供了保证。,B
18,以下关于“一稿多投”的说法中，错误的是,B
19,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
20,以下哪项不符合引文规范,B
21,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
22,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
23,在科研结果及运用中常见的问题中，下列属于科研道德范畴的是,D
24,韩国首尔大学黄禹锡因违反科学道德，犯有诈骗、科研剽窃等行为，被拉下“国家最高科学家”神坛，最终以被判处有期徒刑18 个月、缓期两年执行的结局收场。这一事件极大地伤害了韩国公众对科学家的信任，也对韩国科技界的国际形象带来负面影响。该案例突出反映了当前科学道德与学风问题具有,B
25,根据《著作权法》第27 条，以下属于“适当引用”的是,D
26,下列哪个不是当今社会的学风所包括的内容,D
27,以下关于“引文规范”的说法，错误的是,B
28,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
29,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
30,以下关于“直接引用”的说法，错误的是,D
31,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
32,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
33,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
34,中国科协的一项调查发现， 38.6%的科技工作者自认为对科研道德和学术规范缺乏足够了解， 49.6%的科技工作者表示自己没有系统的了解和学习过科研道德和学术规范。这种现象所反映出在科学道德和学风问题中应该,A
35,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
36,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
0,"在合作研究中，故意隐瞒应共享的信息,不提供相关数据和资源等。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须遵守科研规范中的",B
1,以下关于“学术引用”的说法中，错误的是,B
2,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
3,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
4,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
5,诚实守信是保障学术成果可靠性的前提，从事学术研究的人不应有任何不诚实的行为。下列哪个行为违背了诚实守信原则。,D
6,凡转引他人成果，应注明转引,D
7,学界公认的科研规范中，规定在参与各种推荐、评审、鉴定、答辩和评奖等活动中，要坚持客观公正的评价标准，坚持按章办事，不徇私情，自觉抵制不良社会风气的影响和干扰。这条原则属于当代科研工作者应该坚持的,D
8,以下说法符合“学术规范”定义的是,B
9,科学研究是站在“巨人的肩膀”上的活动，对于前人的研究成果我们可以吸收和借鉴，但是借鉴的形式需要规范。我国国家标准局2005 年发布并实施的《文   后参考文献著录规则》，在国内出版的论著文献可以参考这一标准。下列属于引   用时需要注意的是,D
10,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
11,中文引文注释的必要内容中，网络文献应标注,D
12,在科研课题申请过程中，资助单位要做到程序的公开、透明，具有相同资质的申请人应该有相同的机会获得资助。()制度在很大程度上提供了保证。,B
13,下列属于科研伦理决策过程的是,D
14,引文原则上应以使用 () 为原则。,B
15,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
16,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
17,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
18,中国科协的一项调查发现， 38.6%的科技工作者自认为对科研道德和学术规范缺乏足够了解， 49.6%的科技工作者表示自己没有系统的了解和学习过科研道德和学术规范。这种现象所反映出在科学道德和学风问题中应该,A
19,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
20,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
21,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
22,下列关于“署名”的说法，错误的是,D
23,科学道德的思想内核是,A
24,以下哪项不属于学术共同体的特点。,D
25,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
26,科研规范主要是指从事科研活动的行为，其主体是,D
27,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
28,按照《学位论文作假行为处理办法》规定，一下属于所称学位论文作假行为的是,D
29,科研规范具有( )和( )的规制性安排。,D
30,以下哪项不符合引文规范,B
31,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
32,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
33,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
34,学术引用的规则有,D
35,学位论文的文献综述一般应在完成开题报告( )完成。,A
36,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
37,以下属于“夹注”定义的是,B
0,加强学术道德和学风建设，遏制学术不端行为，必须,D
1,学位论文的文献综述一般应在完成开题报告( )完成。,A
2,我国司法实践中认定抄袭和剽窃的标准有三， 其中第二条标准对剽窃者使用他人作品是否超出了“适当引用” 的范围做了“量”和“质”的认定。对引用的“量”，我国《图书期刊保护试行条例实施细则》中的第十五条有明确规定： 凡引用一人或多人的作品，所引用的总量不得超过被引用作品的,A
3,内容摘要也称提要，是学术成果的内容不加注释和评论的简短陈述。下列属于摘要囊括的内容的是,D
4,科学道德的思想内核是,A
5,按照《学位论文作假行为处理办法》规定，一下属于所称学位论文作假行为的是,D
6,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
7,以下关于“直接引用”的说法，错误的是,D
8,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
9,凡转引他人成果，应注明转引,D
10,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
11,以下关于“引文规范”的说法，错误的是,B
12,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
13,"科研不当行为虽然没有违背科学活动的基本价值观，但却有严重的社会影响。
   下列哪一项不是科研不当行为的后果。",D
14,以下属于“夹注”定义的是,B
15,下列属于科研伦理决策过程的是,D
16,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
17,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
18,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
19,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
20,以下哪种行为不属于学术不端行为。,D
21,以下哪项不符合引文规范,B
22,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
23,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
24,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
25,科研规范主要是指从事科研活动的行为，其主体是,D
26,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
27,下列选项中不属于“抄袭”的是,D
28,以下关于“一稿多投”的说法中，错误的是,B
29,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列哪种说法是正确的？论文复检不合格者，不受理其论文答辩申请，须推迟答辩，并在导师指导下对论文进行不少于 (  )个月的修改，再申请重新进行检测。,D
30,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
31,以下关于“学术成果”的描述，错误的是,D
32,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
33,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，以下哪项不属于研究生学位论文的检测结果：,B
0,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
1,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
2,以下关于科研项目申请的做法中，正确的是,A
3,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
4,在科研结果及运用中常见的问题中，下列属于科研道德范畴的是,D
5,署名问题关乎学风建设，署名者要对其成果承担以下什么责任,D
6,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
7,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
8,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
9,引文原则上应以使用 () 为原则。,B
10,下列关于“署名”的说法，错误的是,D
11,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
12,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
13,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
14,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
15,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
16,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
17,伪造和篡改可能导致的后果是,D
18,关于科学数据保存期限的规定，科学实验记录中一些关键的记录需要保存( )年,D
19,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
20,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
21,以下属于“夹注”定义的是,B
22,科研规范主要是指从事科研活动的行为，其主体是,D
23,学术批评要坚持学术与学术对话， 不同学术观点的争议要采用的方法来进行,A
24,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
25,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
26,按照《学位论文作假行为处理办法》规定，一下属于所称学位论文作假行为的是,D
27,下列选项中不属于“抄袭”的是,D
28,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
29,学界公认的科研规范中，规定在参与各种推荐、评审、鉴定、答辩和评奖等活动中，要坚持客观公正的评价标准，坚持按章办事，不徇私情，自觉抵制不良社会风气的影响和干扰。这条原则属于当代科研工作者应该坚持的,D
30,加强学术道德和学风建设，遏制学术不端行为，必须,D
31,在课题申请中，不应超负荷申请，有的科技工作者同时参加了多个课题，应保证每年所有课题的时间加总之和不能超过()个月,D
32,对于研究生涉嫌学术失范行为的处理，应当坚持程序正当、证据充分等方   针，以及( )的原则。,D
33,根据《学位论文作假行为处理办法》规定，为他人代写学位论文、出售学位论文或者组织学位论文买卖、代写的人员，属于在读学生的，其所在学校或者学位授予单位可以给予（ ）处分。,D
34,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，以下哪项不属于研究生学位论文的检测结果：,B
35,千百年来科技工作者探究出来的基本方法，是具有普适性和实用性的，是科学发现和技术创新的“器”。这说明科研工作者在科学研究上应具有,D
36,在高等学校中，有些研究活动是为了对学生进行相关的学术训练.下面不属于这种训练的目的的是,A
37,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
0,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
1,以下关于科研项目申请的做法中，正确的是,A
2,引文原则上应以使用 () 为原则。,B
3,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
4,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
5,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
6,科学道德的思想内核是,A
7,诚实守信是保障学术成果可靠性的前提，从事学术研究的人不应有任何不诚实的行为。下列哪个行为违背了诚实守信原则。,D
8,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
9,以下关于“学术成果”的描述，错误的是,D
10,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
11,在向编辑部说明的情况下，以下说法中不属于“一稿多投”的是,B
12,加强学术道德和学风建设，遏制学术不端行为，必须,D
13,中国科协的一项调查发现， 38.6%的科技工作者自认为对科研道德和学术规范缺乏足够了解， 49.6%的科技工作者表示自己没有系统的了解和学习过科研道德和学术规范。这种现象所反映出在科学道德和学风问题中应该,A
14,凡转引他人成果，应注明转引,D
15,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
16,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
17,学界公认的科研规范中，规定在参与各种推荐、评审、鉴定、答辩和评奖等活动中，要坚持客观公正的评价标准，坚持按章办事，不徇私情，自觉抵制不良社会风气的影响和干扰。这条原则属于当代科研工作者应该坚持的,D
18,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
19,以下哪项不属于学术共同体的特点。,D
20,署名问题关乎学风建设，署名者要对其成果承担以下什么责任,D
21,以下关于“一稿多投”的说法中，错误的是,B
22,根据《关于科技工作者行为准则的若干意见》，科技工作者和有关科技管理机构在科研立项、科技成果的评审、鉴定、验收和奖励等活动中，相关的评价结论严禁滥用以下哪种用语,D
23,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
24,学风是学术风气的简称，是学术共同体及其成员在学术研究中表现出来的特殊的社会风气。下列哪一现象不属于学风不正。,D
25,下列选项中不属于“抄袭”的是,D
26,在科研课题申请过程中，资助单位要做到程序的公开、透明，具有相同资质的申请人应该有相同的机会获得资助。()制度在很大程度上提供了保证。,B
27,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
28,教育部《学位论文作假行为处理办法》（2012）规定，在读学生为他人代写学位论文、出售学位论文或者组织学位论文买卖，其所在学校或者学位授予单位对其最高处分是,D
29,下列关于“署名”的说法，错误的是,D
30,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“不合格”的是,D
31,"在合作研究中，故意隐瞒应共享的信息,不提供相关数据和资源等。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须遵守科研规范中的",B
32,以下说法符合“学术规范”定义的是,B
33,按照2009 年9 月中国科协七届十一次常委会议审议通过的《科学道德规范（试行）》第九条规定，选拔和举荐人才的主要标准不包含下面哪项。,D
34,选取材料是搜集资料的重要环节。对研究资料进行区分和甄别是研究者的重要责任，研究者不应,D
35,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
0,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
1,以下属于“夹注”定义的是,B
2,中文引文注释的必要内容中，网络文献应标注,D
3,根据《关于科技工作者行为准则的若干意见》，科技工作者和有关科技管理机构在科研立项、科技成果的评审、鉴定、验收和奖励等活动中，相关的评价结论严禁滥用以下哪种用语,D
4,以下关于“学术引用”的说法中，错误的是,B
5,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
6,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
7,学位论文的文献综述一般应在完成开题报告( )完成。,A
8,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
