,Q,A
9,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
10,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
11,中国科协的一项调查发现， 38.6%的科技工作者自认为对科研道德和学术规范缺乏足够了解， 49.6%的科技工作者表示自己没有系统的了解和学习过科研道德和学术规范。这种现象所反映出在科学道德和学风问题中应该,A
12,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
13,作者为了彰显自己查阅了大量文献，故意列出一些与研究内容基本没有关系的文献；或作者根本没有查阅，而是直接从他人的参考文献中搬来；或为了表示作者的研究水平和能力，列出一些无关或看似有关，实际上根本没有查阅的文献。上述情况属于,C
14,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
15,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
16,以下关于“引文规范”的说法，错误的是,B
17,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
18,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
19,科学道德的思想内核是,A
20,韩国首尔大学黄禹锡因违反科学道德，犯有诈骗、科研剽窃等行为，被拉下“国家最高科学家”神坛，最终以被判处有期徒刑18 个月、缓期两年执行的结局收场。这一事件极大地伤害了韩国公众对科学家的信任，也对韩国科技界的国际形象带来负面影响。该案例突出反映了当前科学道德与学风问题具有,B
21,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
22,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
23,以下说法中属于“剽窃”的是,C
24,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
25,学位论文的文献综述一般应在完成开题报告( )完成。,A
26,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
27,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
28,引文原则上应以使用 () 为原则。,B
29,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
30,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
0,科研道德考察的是科研人员自身的道德修养、品行和诚实及杜撰、抄袭、剽窃及学术不当行为产生的根源、表现、危害及对策。下列属于违反科研道德的是,C
1,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
2,引文原则上应以使用 () 为原则。,B
3,以下关于“综述”有关规定的说法，错误的是,C
4,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
5,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
6,我国司法实践中认定抄袭和剽窃的标准有三， 其中第二条标准对剽窃者使用他人作品是否超出了“适当引用” 的范围做了“量”和“质”的认定。对引用的“量”，我国《图书期刊保护试行条例实施细则》中的第十五条有明确规定： 凡引用一人或多人的作品，所引用的总量不得超过被引用作品的,A
7,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
8,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
9,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
10,以下哪项不符合引文规范,B
11,选题应具有可行性是指,A
12,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
13,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
14,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
15,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
16,科学道德的思想内核是,A
17,以下关于“参考文献”的说法，错误的是,C
18,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中,C
19,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
20,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
21,以下说法符合“学术规范”定义的是,B
22,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
23,科学道德和学风问题的本质是,C
24,学位论文的文献综述一般应在完成开题报告( )完成。,A
25,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
26,科学共同体的沉淀是,C
27,以下关于“文献综述”的说法，错误的是,C
28,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
29,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
30,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
31,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
32,中国科协《科技工作者科学道德规范（试行）》将学术不端行为界定为，在科学研究和学术活动中的各种造假、抄袭、剽窃和其他违背科学共同体惯例的行为。下列属于学术不端行为的是,A
33,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
34,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
35,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
0,科研不当行为与科研不端行为都属于科学研究中存在的严重问题，其中科研不当行为虽然没有直接触犯明确规定的研究行为的道德底线， 但也同样违反科学的目的、精神和科学研究事业的基本道德原则。下列不属于科研不当行为的是,C
1,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
2,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
3,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
4,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的关键的是,B
5,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
6,下列哪一项行为不属于科研不端行为。,C
7,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
8,以下关于“参考文献”的说法，错误的是,C
9,学术界一般认为，在涉及到人的科研活动中要遵守学界公认的四项基本的伦理原则。下列不属于这四项基本原则的是,C
10,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
11,论文署名不实也是一种常见的科研不当行为。下列不属于论文署名不实行   为的是,A
12,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“合格”的是,C
13,稿件原则上只能在一个刊物上发表，避免一稿多投，下列说法正确的是,A
14,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
15,以下关于“综述”有关规定的说法，错误的是,C
16,引文原则上应以使用 () 为原则。,B
17,引文应当是作者在撰写论著时确实参考或引用过的文献，如果为了给人一种阅读了大量文献资料、研究基础扎实的印象，而故意在论著中加入大量实际没有参考或引用过的、或者与本文论题根本不相干的文献，做不相关引用、无效引用。这种行为属于,A
18,利用引注或者改写、转述引文，并以之构成自己论著作的主要部分或核心内容，这种对引注的不恰当或过度使用，也是一种剽窃行为。该引用行为属于,B
19,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
20,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
21,在高等学校中，有些研究活动是为了对学生进行相关的学术训练.下面不属于这种训练的目的的是,A
22,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
23,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
24,韩国首尔大学黄禹锡因违反科学道德，犯有诈骗、科研剽窃等行为，被拉下“国家最高科学家”神坛，最终以被判处有期徒刑18 个月、缓期两年执行的结局收场。这一事件极大地伤害了韩国公众对科学家的信任，也对韩国科技界的国际形象带来负面影响。该案例突出反映了当前科学道德与学风问题具有,B
25,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
26,学术批评要坚持学术与学术对话， 不同学术观点的争议要采用的方法来进行,A
27,以下哪项不符合引文规范,B
28,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
29,作者为了彰显自己查阅了大量文献，故意列出一些与研究内容基本没有关系的文献；或作者根本没有查阅，而是直接从他人的参考文献中搬来；或为了表示作者的研究水平和能力，列出一些无关或看似有关，实际上根本没有查阅的文献。上述情况属于,C
30,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
31,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
32,以下关于“一稿多投”的说法中，错误的是,B
33,以下关于科研项目申请的做法中，正确的是,A
34,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
35,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
36,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
0,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
1,科学道德和学风问题的本质是,C
2,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面， 必须实事求是。这条原则属于当代科研工作者应该坚持的,B
3,学术规范是在学术共同体内部所构建的一种,B
4,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
5,解决科学道德和学风问题， 关键在于抓好教育、制度和监督三个环节教育是( )，制度是( )监督是( )，惩防结合、标本兼治。,A
6,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
7,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
8,学术乃天下之公器，只有通过学术批评才能去伪存真，明辨是非，发现真理，杜绝腐败，推动学术进步。不属于学术批评应遵循的原则是,C
9,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学， 制止科学道德与学风蜕变趋势的发展， 努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的基础的是,A
10,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
11,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
12,以下关于“引文规范”的说法，错误的是,B
13,下列不属于一稿多投现象的是,C
14,有的专家对某个申报人或某个申报单位有成见，或是申报项目的内容也正   是他自己想研究的，这时他故意打低分，表示不同意，这种情况违背了,A
15,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
16,任何成果均应在发表前经所有署名人 ( )，署名者应对该项成果承担相应   的学术责任、道义责任和法律责任。,C
17,以下关于“综述”有关规定的说法，错误的是,C
18,科研不当行为与科研不端行为都属于科学研究中存在的严重问题，其中科研不当行为虽然没有直接触犯明确规定的研究行为的道德底线， 但也同样违反科学的目的、精神和科学研究事业的基本道德原则。下列不属于科研不当行为的是,C
19,杜撰一般指按照某种科学假说和理论演绎出的期望值伪造虚假的观察与实验结果，从而支持理论的正确性或者确认实验结果的正确性。下列属于学术杜撰行为的是,B
20,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
21,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
22,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
23,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
24,科学道德的思想内核是,A
25,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
26,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
27,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
28,以下哪项不符合引文规范,B
29,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
30,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
31,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
32,以下关于科研项目申请的做法中，正确的是,A
33,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
34,以下关于“一稿多投”的说法中，错误的是,B
0,学界公认的科研规范中，规定在项目设计、数据资料采集分析、公布科研成果，以及确认同事、合作者对科研工作的直接或间接贡献等方面，必须实事求是。这条原则属于当代科研工作者应该坚持的,B
1,在高等学校中，有些研究活动是为了对学生进行相关的学术训练.下面不属于这种训练的目的的是,A
2,导语也称前言、导言，通常在学位论文或篇幅较长的论文中出现，导语应明确交待该领域的学术史，不能闭门造、车自说自话。下列哪个选项不属于导语基本要素,C
3,在科研课题申请过程中，资助单位要做到程序的公开、透明，具有相同资质的申请人应该有相同的机会获得资助。()制度在很大程度上提供了保证。,B
4,同一篇文章发表在不同刊物上，但作者署名顺序不同，这种行为,B
5,以下关于“引文规范”的说法，错误的是,B
6,以下属于“夹注”定义的是,B
7,解决科学道德和学风问题， 关键在于抓好教育、制度和监督三个环节教育是( )，制度是( )监督是( )，惩防结合、标本兼治。,A
8,在项目设计、数据材料采集分析、公布科研成果等方面没有保证数据的有效性和准确性。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须   遵守科研规范中的,A
9,科学共同体的沉淀是,C
10,引文原则上应以使用 () 为原则。,B
11,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
12,只有遵守学术规范，才能在学术共同体中得到认可，如果违反了学术规范，就会,C
13,以下说法中属于“剽窃”的是,C
14,"关于科学数据保存期限的规定,一般科学实验记录应当至少保存()年",C
15,高尚的学风道德会对科学文化的发育起到重要的作用。我国老一代科学家淡泊名利、勇攀高峰、无私奉献，以优良的科学道德和学术素养为科技工作者乃至全社会树立了光辉典范。但是目前，我国科学文化发育严重滞后于科学技术发展的内在要求，下列不属于这种严重滞后的表现的是,C
16,以下关于“综述”有关规定的说法，错误的是,C
17,以下关于“参考文献”的说法，错误的是,C
18,下列不属于一稿多投现象的是,C
19,"同行、同事、同学为增加论文篇数以达到绩效考核标准，或获得职称晋升，或获得到其他回报，而彼此之间建立互惠协议，相互“搭车”,在对方的论著、学术论文中相互署名。这种行为是被严格禁止的，该署名属于",C
20,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
21,未查阅过的文献是否可以转抄入自己的引文目录或参考文献目录中。,C
22,引用应当完全出于学术目的，但有一些作者为了提高彼此的引用率，   采取“团体作战”的方式，在小团体之间进行，以提高彼此引用率为目的的相互   引用。这种行为属于,B
23,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
24,科学道德和学风问题的本质是,C
25,在学术论文署名时，其中一名作者可能为该研究提供了资金资助，可能是该学术领域的领军人物， 也可能仅仅为其他作者提供帮助但并未真正参与该研究， 他们并没有对研究做出符合作者身份要求的贡献。这种署名是被学界严格禁止的， 该署名属于,A
26,以下关于“学术引用”的说法中，错误的是,B
27,学术评价是同行专家或学术机构对评价对象符合特定学术标准的程度做出权威判断的学术活动。下列不属于学术评价的是,C
28,科学道德的思想内核是,A
0,作者撰写论著时，出于提高引用率，或扩大影响等目的，不必引而偏引，进行不必要的过度引用。这种行为属于,B
1,以下关于“参考文献”的说法，错误的是,C
2,以下哪项不符合引文规范,B
3,学术评价要遵循时间与空间双重制约的原则。空间制约是指评价任何理论成果，应当选择一定数量、与作者没有厉害关系的评价者。下列哪些评价者最不符合学术评价的空间制约原则,A
4,一些作者把原作者的研究进行改头换面，再用自己的语言叙述出来，并当作自己的论述而不注明出处。这种行为虽然在表达上可能是作者自己的话， 实际上，作者只是挪用了别人的观点， 并不是作者自己的研究， 实际是一种剽窃行为。这种引用属于,A
5,科学道德的思想内核是,A
6,与他人合作或者接受他人委托完成的发明创造，申请专利的权利根据合同的约定确定，该合同,C
7,科研规范是基于科研道德和科学共同体共识的， 具有稳定性、连续性的规制和安排，因而具有文化的意义，要求研究者自觉遵守和共同维护。下列属于当代科技工作者应该坚持的规范是,B
8,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，以下哪项不属于研究生学位论文的检测结果：,B
9,科研人员在研究工作接受评审之前，就急于公开发表相关的、不成熟的研究报告，这种不当行为属于,A
10,对科学研究中的不端行为更重要的是要从源头采取措施，教育为本、正本清源、回归科学，制止科学道德与学风蜕变趋势的发展，努力让学术风气回归到科学的轨道。作为解决科学道德和学风问题的保障的是,C
11,科研道德考察的是科研人员自身的道德修养、品行和诚实及杜撰、抄袭、剽窃及学术不当行为产生的根源、表现、危害及对策。下列属于违反科研道德的是,C
12,篡改通常表现为用个人主观意愿对科研结果横加干预，篡改行为严重地违背了科学研究中的基本规范要求， 其结果必然不具有可重复性。下列属于篡改行为的是,B
13,按照《学位论文作假行为处理办法》规定，学位申请人员的学位论文出现购买、由他人代写、剽窃或者伪造数据等作假情形的，学位授予单位可以取消其学位申请资格；已经获得学位的，学位授予单位可以依法撤销其学位，并注销学位证书。取消学位申请资格或者撤销学位的处理决定应当向社会公布。从做出处理决定之日起至少 ( ) 年内，各学位授予单位不得再接受其学位申请。,C
14,下列哪项不属于查新的重要意义。,B
15,以下说法符合“学术规范”定义的是,B
16,引文原则上应以使用 () 为原则。,B
17,以下关于“引文规范”的说法，错误的是,B
18,踏实严谨的工作习惯是科研活动的基本要求。在科研工作中，每一个实验过程、每一条实验记录、每一个实验结果都来不得半点马虎，都需要科研人员如实记录，仔细整理，认真分析，得出结论。这种品质属于科研工作者应具备的,A
19,根据《南京信息工程大学研究生学位论文学术不端行为检测工作办法》规定，下列检测结果视为“修改后复检”的是,B
20,中文引文注释其内容要遵守必要的学术规范。下列不正确的是,A
21,中国科协的一项调查发现， 38.6%的科技工作者自认为对科研道德和学术规范缺乏足够了解， 49.6%的科技工作者表示自己没有系统的了解和学习过科研道德和学术规范。这种现象所反映出在科学道德和学风问题中应该,A
22,学术界一般认为，在涉及到人的科研活动中要遵守学界公认的四项基本的伦理原则。下列不属于这四项基本原则的是,C
23,下列哪一项行为不属于科研不端行为。,C
24,以下关于“一稿多投”的说法中，错误的是,B
25,"在合作研究中，故意隐瞒应共享的信息,不提供相关数据和资源等。根据相关加强科研规范的措施和意见，这种行为违反了科研人员须遵守科研规范中的",B
26,在高等学校中，有些研究活动是为了对学生进行相关的学术训练.下面不属于这种训练的目的的是,A
27,著名学者钱三强指出，“虽然科学没有国界，科学家却是有祖国的。”毋庸置疑，每位科研工作者都应具有一定的社会责任感和使命感， 这不仅要求我们要始终不渝地坚持以造福人类为研究的最终目标， 还要求我们对科学研究的社会影响负责。这种品质属于科研工作者应具备的,C
28,教育部《学位论文作假行为处理办法》（2012） 的主要法律依据是《中华人民共和国学位条例》以及,A
